date,state,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-28,RS,1350,49,5987,11491011,43,8.4,11340,6036,5304,634.3333333333334,352.1666666666667,4.5,356.6666666666667,277.6666666666667,8.861111111111105,19.055555555555554,0.16666666666666666,19.22222222222222,-10.361111111111116,-0.9444444444444429,,,0.008117958913187541,0.004320987654320987,986.8583364857975,4.2642026885188775,521.0159489012759,525.2801515897949,461.5781848960026
2020-04-29,RS,1420,51,6242,11491011,43,8.4,11928,6293,5635,641.1666666666666,371.1666666666667,4.5,375.6666666666667,265.49999999999994,50.88888888888888,45.638888888888886,0.27777777777777773,45.916666666666664,4.972222222222214,0.8055555555555545,2.012152777777779,,0.00810424280947084,0.004275653923541248,1038.028768748024,4.438251777846179,543.2072077905069,547.6454595683531,490.38330917967096
2020-04-30,RS,1529,58,6634,11491011,43,8.4,12844,6692,6152,607.6666666666666,377.3333333333333,3.6666666666666665,381.0,226.66666666666663,32.166666666666664,34.19444444444445,0.22222222222222218,34.41666666666667,-2.250000000000007,19.3125,,,0.008667065152420802,0.004515727187791965,1117.7432516599279,5.047423590491733,577.3208292986578,582.3682528891496,535.3749987707783
2020-05-01,RS,1619,62,7191,11491011,43,8.4,13600,7253,6347,585.1666666666666,381.5,4.5,386.0,199.16666666666663,25.638888888888875,19.972222222222218,0.055555555555555504,20.027777777777775,5.6111111111111,11.659722222222223,0.9652777777777795,-1.8368055555555558,0.00854818695712119,0.0045588235294117645,1183.5338074256479,5.3955217691463355,625.7935006763113,631.1890224454576,552.3447849801902
2020-05-02,RS,1666,65,7579,11491011,43,8.4,13994,7644,6350,838.6666666666666,545.0,5.333333333333333,550.3333333333334,288.33333333333326,86.1111111111111,42.99999999999999,0.08333333333333333,43.08333333333333,43.02777777777777,14.708333333333337,-6.621527777777779,,0.008503401360544218,0.004644847791910819,1217.821478023126,5.656595403137287,659.5590240058077,665.2156194089449,552.6058586141811
2020-05-03,RS,1690,67,7881,11491011,43,8.4,14196,7948,6248,799.3333333333334,501.1666666666667,5.333333333333333,506.5,292.83333333333337,97.52777777777777,43.41666666666668,0.22222222222222224,43.6388888888889,53.88888888888887,4.666666666666672,-5.335069444444444,-0.12803819444444503,0.008429793658782084,0.004719639335023951,1235.4004360451836,5.830644492464589,685.8404364942302,691.6710809866947,543.7293550584887
2020-05-04,RS,1768,76,8276,11491011,43,8.4,14851,8352,6499,788.1666666666666,472.0,4.833333333333333,476.8333333333333,311.3333333333333,91.00000000000001,45.666666666666664,-0.08333333333333333,45.58333333333333,45.416666666666686,-7.1736111111111125,-12.559027777777779,,0.009099616858237548,0.005117500505016497,1292.4015127998746,6.613865394437443,720.2151316363721,726.8289970308095,565.572515769065
2020-05-05,RS,2019,83,9512,11491011,43,8.4,16960,9595,7365,1157.8333333333333,629.1666666666666,5.0,634.1666666666666,523.6666666666666,44.305555555555564,23.80555555555556,-0.27777777777777773,23.527777777777782,20.777777777777782,-9.680555555555552,0.45312499999999933,,0.008650338718082335,0.004893867924528302,1475.9362774955137,7.223037207082998,827.7774688406442,835.0005060477272,640.9357714477865
2020-05-06,RS,2100,90,9641,11491011,43,8.4,17640,9731,7909,1192.8333333333333,637.8333333333334,5.0,642.8333333333334,549.9999999999999,57.41666666666665,47.16666666666666,-0.3055555555555555,46.8611111111111,10.55555555555555,-35.52777777777778,,,0.009248792518754496,0.00510204081632653,1535.112967866796,7.832209019728551,839.0036351022551,846.8358441219837,688.2771237448123
2020-05-07,RS,2182,91,10023,11491011,43,8.4,18329,10114,8215,1131.1666666666667,655.5,4.0,659.5,471.66666666666674,58.805555555555564,50.52777777777777,0.0,50.52777777777777,8.277777777777793,6.47916666666667,,-1.6666666666666672,0.008997429305912597,0.004964809864149708,1595.0728791400513,7.919233564392202,872.2470111637697,880.1662447281618,714.9066344118894
2020-05-08,RS,2493,95,11354,11491011,43,8.4,20941,11449,9492,1104.5,687.8333333333334,3.6666666666666665,691.5,413.0,-51.11111111111111,-0.7222222222222096,0.02777777777777783,-0.6944444444444318,-50.41666666666668,6.069444444444441,,,0.00829766791859551,0.004536555083329354,1822.3809898015065,8.267331743046805,988.0766801110885,996.3440118541354,826.0369779473712
2020-05-09,RS,2542,97,11708,11491011,43,8.4,21353,11805,9548,1143.8333333333333,784.1666666666666,3.5,787.6666666666666,356.16666666666663,70.22222222222224,58.833333333333336,0.13888888888888884,58.97222222222222,11.250000000000021,-6.645833333333339,-6.21354166666667,,0.008216857263871242,0.004542687210228071,1858.2351022029306,8.441380832374104,1018.8833689220208,1027.324749754395,830.9103524485356
2020-05-10,RS,2576,100,12209,11491011,43,8.4,21638,12309,9329,1141.0,775.1666666666666,4.833333333333333,780.0,361.0,81.69444444444441,50.38888888888889,0.38888888888888884,50.77777777777778,30.916666666666636,,11.810763888888896,,0.008124136810463888,0.004621499214345134,1883.037097432071,8.702454466365056,1062.4826657985097,1071.185120264875,811.8519771671962
2020-05-11,RS,2808,105,13639,11491011,43,8.4,23587,13744,9843,851.1666666666666,624.8333333333334,5.166666666666667,630.0,221.16666666666663,32.22222222222221,21.75,0.47222222222222227,22.22222222222222,9.999999999999986,-18.375000000000007,,,0.007639697322467986,0.0044516046975028615,2052.647934981526,9.13757718968331,1186.92776466753,1196.0653418572135,856.5825931243126
2020-05-12,RS,2917,111,14346,11491011,43,8.4,24503,14457,10046,1614.1666666666667,990.8333333333334,5.833333333333333,996.6666666666667,617.5,3.7222222222222476,-11.027777777777771,0.5277777777777778,-10.499999999999993,14.222222222222241,53.31250000000003,,-4.013454861111117,0.007677941481635194,0.004530057543974207,2132.36241789343,9.659724457665213,1248.454117744731,1258.1138422023962,874.2485756910336
2020-05-13,RS,2997,120,14674,11491011,43,8.4,25175,14794,10381,1621.3333333333333,957.8333333333334,6.333333333333333,964.1666666666667,657.1666666666665,-3.2777777777777906,-14.083333333333334,0.30555555555555564,-13.777777777777779,10.499999999999988,28.40277777777777,,,0.0081113965120995,0.004766633565044687,2190.842911907403,10.442945359638069,1276.9981683944084,1287.4411137540465,903.4017981533566
2020-05-14,RS,3101,126,15103,11491011,43,8.4,26048,15229,10819,1297.8333333333333,818.3333333333334,6.5,824.8333333333334,472.9999999999999,294.9444444444445,153.66666666666666,0.11111111111111101,153.77777777777777,141.16666666666674,58.909722222222214,-4.243055555555571,,0.008273688357738526,0.004837223587223587,2266.81533939877,10.965092627619972,1314.3316980551147,1325.2967906827346,941.5185487160355
2020-05-15,RS,3695,132,17653,11491011,43,8.4,31038,17785,13253,1166.1666666666667,718.0,6.666666666666667,724.6666666666666,441.5000000000001,145.8333333333333,89.44444444444444,-0.02777777777777768,89.41666666666667,56.416666666666615,,12.369791666666671,,0.007421984818667416,0.004252851343514402,2701.0678172703865,11.487239895601876,1536.2442869474235,1547.7315268430254,1153.336290427361
