country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Saudi Arabia,2020-04-19,24.0,45.0,35582072,23339,,,9362,4064.915,97,9362,4161.915,5200.085,1065.333,434.727,5.167,439.894,625.439,69.694,50.79,0.1944,50.985,18.71,-15.75,,,0.02331,0.01036,263.11,2.726,114.241,116.967,146.143,,
Senegal,2020-04-19,14.497,-14.4524,16725284,1522,4941,samples tested,367,269.899,3,367,272.899,94.101,17.833,7.91,0.6667,8.577,9.257,4.75,0.8971,0.08333,0.9805,3.77,1.063,-0.07292,-0.13802,0.01099,0.00817,21.943,0.1794,16.137,16.317,5.626,13.463,295.421
Serbia,2020-04-19,44.016,21.006,6925690,7246,38701,people tested,6318,3184.152,122,6318,3306.152,3011.848,304.333,264.071,5.167,269.237,35.096,-22.30556,5.105,-0.22222,4.883,-27.18882,,,,0.0369,0.01931,912.256,17.616,459.76,477.375,434.881,6.126,5588.035
Seychelles,2020-04-19,-4.6796,55.492,98675,16434,,,11,12.602,0,11,12.602,-1.60194,0.0,-0.15477,,,,,,,,,,,,0.0,0.0,111.477,0.0,127.712,127.712,-16.23455,,
Sierra Leone,2020-04-19,8.461,-11.77989,8098006,534,,,35,10.636,0,35,10.636,24.364,7.667,2.092,,,,0.6111,0.3484,,,,-0.09722,,,0.0,0.0,4.322,0.0,1.313,1.313,3.009,,
Singapore,2020-04-19,1.283,103.833,5853430,64582,,people tested,6588,2671.328,11,6588,2682.328,3905.672,952.333,358.859,0.3333,359.192,593.141,67.639,49.661,-0.02778,49.633,18.005,-24.34028,,,0.0041,0.00167,1125.494,1.879,456.37,458.249,667.245,,
Slovakia,2020-04-19,48.669,19.699,5453260,19444,46734,samples tested,1161,680.874,12,1161,692.874,468.126,44.5,38.397,1.0,39.397,5.103,-5.0,1.459,-0.13889,1.32,-6.3199,,,,0.01732,0.01034,212.9,2.201,124.856,127.057,85.843,40.253,8569.92
Slovenia,2020-04-19,46.151,14.996,2083556,26042,41802,samples tested,1330,974.872,74,1330,1048.872,281.128,14.167,22.67,3.0,25.67,-11.50308,-1.66667,-0.68375,-0.33333,-1.01709,-0.64958,,,,0.07055,0.05564,638.332,35.516,467.889,503.405,134.927,31.43,20062.816
Somalia,2020-04-19,5.152,46.2,15910843,,,,164,39.29,7,164,46.29,117.71,34.333,10.862,0.5,11.362,22.972,3.389,1.662,0.1667,1.828,1.56,-0.89583,,,0.1512,0.04268,10.307,0.44,2.469,2.909,7.398,,
South Africa,2020-04-19,-30.5595,22.938,59411676,6374,114711,units unclear,3158,1917.621,54,3158,1971.621,1186.379,171.667,99.803,2.833,102.636,69.031,8.806,6.164,0.1389,6.303,2.503,-0.31944,,,0.02739,0.0171,53.155,0.9089,32.277,33.186,19.969,36.324,1930.782
South Korea,2020-04-19,36.0,128.0,52144578,31380,559109,people tested,10661,9884.908,234,10661,10118.908,542.092,13.5,49.948,1.5,51.448,-37.9482,-1.58333,-3.23008,-0.25,-3.48008,1.897,,,,0.02313,0.02195,204.451,4.488,189.567,194.055,10.396,52.444,10722.284
South Sudan,2020-04-19,6.877,31.307,11695174,,,,4,5.277,0,4,5.277,-1.27692,0.0,-0.12337,,,,,,,,,,,,0.0,0.0,0.342,0.0,0.4512,0.4512,-0.10918,,
