Date,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,μ_closed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
2020-04-30,7777809927,11317,23126102,units unclear,3189142,985382,229677,3189142,1215059,1974083,0.189,78509.167,40625.833,5338.833,45964.667,32544.5,1029.583,189.639,-84.97222,104.667,924.917,181.34,,,0.07202,410.031,29.53,126.691,156.221,253.81,7.252,2973.344
2020-05-01,7777809927,11317,22970224,units unclear,3275816,1022415,234705,3275816,1257120,2018696,0.1867,78978.833,41295.333,4945.833,46241.167,32737.667,983.722,-65.69444,-43.97222,-109.66667,1093.389,74.674,-63.84896,,0.07165,421.175,30.176,131.453,161.629,259.546,7.012,2953.302
2020-05-02,7777809927,11317,22540866,units unclear,3355895,1061963,239742,3355895,1301705,2054190,0.1842,79831.167,40414.667,4748.333,45163.0,34668.167,1055.389,-492.94444,-80.55556,-573.5,1628.889,-12.80556,-95.6875,,0.07144,431.47,30.824,136.538,167.361,264.109,6.717,2898.099
2020-05-03,7777809927,11317,27823944,units unclear,3432360,1092765,243284,3432360,1336049,2096311,0.1821,81272.833,37239.167,4891.5,42130.667,39142.167,1015.972,-33.61111,-36.80556,-70.41667,1086.389,-63.46528,-75.94965,,0.07088,441.302,31.279,140.498,171.777,269.525,8.106,3577.349
2020-05-04,7777809927,11317,25865553,units unclear,3507046,1128843,247136,3507046,1375979,2131067,0.1796,81488.167,37407.833,4974.333,42382.167,39106.0,978.361,-253.41667,11.083,-242.33333,1220.694,-201.40972,,,0.07047,450.904,31.774,145.136,176.911,273.993,7.375,3325.557
2020-05-05,7777809927,11317,27143156,units unclear,3585235,1163731,252639,3585235,1416370,2168865,0.1784,83256.667,36860.667,4996.0,41856.667,41400.0,729.861,201.722,-12.16667,189.556,540.306,-229.125,,,0.07047,460.957,32.482,149.622,182.104,278.853,7.571,3489.82
2020-05-06,7777809927,11317,28478136,units unclear,3676779,1208817,259026,3676779,1467843,2208936,0.1765,84605.0,40424.167,5118.0,45542.167,39062.833,249.75,477.167,-62.77778,414.389,-164.63889,-273.59722,,,0.07045,472.727,33.303,155.419,188.722,284.005,7.745,3661.459
2020-05-07,7777809927,11317,31598314,units unclear,3764745,1246862,264551,3764745,1511413,2253332,0.175,84849.0,39774.833,5012.333,44787.167,40061.833,99.472,887.083,-88.27778,798.806,-699.33333,-170.84028,,,0.07027,484.037,34.014,160.31,194.324,289.713,8.393,4062.624
2020-05-08,7777809927,11317,30955633,units unclear,3855435,1283127,269718,3855435,1552845,2302590,0.1737,84210.333,41625.0,4675.333,46300.333,37910.0,-116.02778,1031.556,-95.41667,936.139,-1052.16667,36.347,,,0.06996,495.697,34.678,164.973,199.651,296.046,8.029,3979.994
2020-05-09,7777809927,11317,30745124,units unclear,3939990,1335310,273992,3939990,1609302,2330688,0.1703,82771.333,40102.167,4514.833,44617.0,38154.333,46.5,326.333,-91.5,234.833,-188.33333,126.542,,,0.06954,506.568,35.227,171.682,206.909,299.659,7.803,3952.928
2020-05-10,7777809927,11317,36797752,units unclear,4016140,1367492,277210,4016140,1644702,2371438,0.1685,82085.0,42730.333,4444.667,47175.0,34910.0,395.139,1072.222,-52.58333,1019.639,-624.5,,51.936,,0.06902,516.359,35.641,175.82,211.461,304.898,9.162,4731.12
2020-05-11,7777809927,11317,33552852,units unclear,4090497,1413481,280691,4090497,1694172,2396325,0.1657,82560.5,43050.0,4423.5,47473.5,35087.0,605.639,596.917,-1.72222,595.194,10.444,324.562,1.168,,0.06862,525.919,36.089,181.733,217.821,308.098,8.203,4313.92
2020-05-12,7777809927,11317,35265814,units unclear,4173407,1449430,286115,4173407,1735545,2437862,0.1649,84884.0,42382.167,4569.0,46951.167,37932.833,944.639,1297.333,-35.69444,1261.639,-317.0,244.09,,-21.57986,0.06856,536.579,36.786,186.355,223.141,313.438,8.45,4534.157
2020-05-13,7777809927,11317,36411635,units unclear,4257255,1503244,291219,4257255,1794463,2462792,0.1623,87219.833,46208.167,4696.833,50905.0,36314.833,1344.75,768.778,-34.61111,734.167,610.583,131.215,-61.11979,-6.06727,0.06841,547.359,37.442,193.273,230.716,316.643,8.553,4681.477
2020-05-14,7777809927,11317,28684569,units unclear,4350798,1541427,296259,4350798,1837686,2513112,0.1612,87844.167,45206.5,4665.0,49871.5,37972.667,1371.5,1259.444,-40.63889,1218.806,152.694,66.292,-34.38368,,0.06809,559.386,38.09,198.183,236.273,323.113,6.593,3688.001
2020-05-15,7777809927,11317,27526138,units unclear,4449294,1589603,301406,4449294,1891009,2558285,0.1594,88439.167,47886.167,4300.667,52186.833,36252.333,1130.5,1421.722,-78.16667,1343.556,-213.05556,80.083,-23.10069,,0.06774,572.05,38.752,204.377,243.129,328.921,6.187,3539.06
2020-05-16,7777809927,11317,28224658,units unclear,4539459,1644741,305391,4539459,1950132,2589327,0.1566,90153.5,47343.0,4237.0,51580.0,38573.5,1209.806,2214.083,-65.66667,2148.417,-938.61111,106.556,-26.40104,,0.06727,583.642,39.264,211.466,250.73,332.912,6.218,3628.87
2020-05-17,7777809927,11317,44398604,units unclear,4617562,1684720,308681,4617562,1993401,2624161,0.1549,90789.5,50606.667,4179.667,54786.333,36003.167,1665.083,2798.306,-44.44444,2753.861,-1088.77778,38.812,-72.54688,,0.06685,593.684,39.687,216.606,256.293,337.391,9.615,5708.368
2020-05-18,7777809927,11317,41058886,units unclear,4704042,1736747,311919,4704042,2048666,2655376,0.1523,91667.0,50912.5,4100.0,55012.5,36654.5,1797.722,2429.722,3.083,2432.806,-635.08333,-39.3125,-101.40625,,0.06631,604.803,40.104,223.295,263.399,341.404,8.728,5278.978
2020-05-19,7777809927,11317,41740994,units unclear,4798176,1787302,316641,4798176,2103943,2694233,0.1505,94478.667,59492.667,4302.833,63795.5,30683.167,1285.75,2846.278,-88.44444,2757.833,-1472.08333,-210.10417,,,0.06599,616.906,40.711,229.795,270.506,346.4,8.699,5366.677
2020-05-20,7777809927,11317,44951480,units unclear,4895535,1845067,321337,4895535,2166404,2729131,0.1483,97834.667,61996.333,4398.333,66394.667,31440.0,1052.556,2205.028,-95.33333,2109.694,-1057.13889,-299.06944,,,0.06564,629.423,41.315,237.222,278.537,350.887,9.182,5779.452
2020-05-21,7777809927,11317,27152693,units unclear,4999296,1895078,326006,4999296,2221084,2778212,0.1468,99225.5,62464.5,4319.167,66783.667,32441.833,824.667,2485.889,-71.55556,2414.333,-1589.66667,,,,0.06521,642.764,41.915,243.652,285.567,357.197,5.431,3491.046
2020-05-22,7777809927,11317,50179577,units unclear,5106331,2001697,331208,5106331,2332905,2773426,0.142,97868.0,64420.667,3706.333,68127.0,29741.0,601.444,-101.94444,-123.05556,-225.0,826.444,,,,0.06486,656.526,42.584,257.36,299.944,356.582,9.827,6451.633
2020-05-23,7777809927,11317,38055946,units unclear,5204570,2056698,335071,5204570,2391769,2812801,0.1401,97104.833,63836.833,3607.667,67444.5,29660.333,,,,,,,,,0.06438,669.156,43.08,264.432,307.512,361.644,7.312,4892.887
2020-05-24,7777809927,11317,42829872,units unclear,5299395,2111534,337834,5299395,2449368,2850027,0.1379,96615.0,65827.833,3670.667,69498.5,27116.5,,,,,,,,,0.06375,681.348,43.436,271.482,314.917,366.431,8.082,5506.675
2020-05-25,7777809927,11317,58994506,units unclear,5385384,2173826,338879,5385384,2512705,2872679,0.1349,98087.333,58881.0,3564.5,62445.5,35641.833,,,,,,,,,0.06293,692.404,43.57,279.491,323.061,369.343,10.955,7584.977
2020-05-26,7777809927,11317,61218281,units unclear,5478164,2228088,342983,5478164,2571071,2907093,0.1334,,,,,,,,,,,,,,0.06261,704.332,44.098,286.467,330.565,373.768,11.175,7870.889
2020-05-27,7777809927,11317,62959875,units unclear,5578986,2290045,348030,5578986,2638075,2940911,0.1319,,,,,,,,,,,,,,0.06238,717.295,44.747,294.433,339.18,378.116,11.285,8094.808
2020-05-28,7777809927,11317,63791032,units unclear,5694855,2354983,352595,5694855,2707578,2987277,0.1302,,,,,,,,,,,,,,0.06191,732.193,45.333,302.782,348.116,384.077,11.202,8201.67
