Key,Group Name,M,β,γ,α,μ
Peruíbe,Group 1,68284.0,0.0716,0.33,0.0321,
Pesqueira,Group 1,67395.0,,,,
Petrolina,Group 1,349145.0,,,,
Petrópolis,Group 1,306191.0,0.108,0.131,0.0271,
Piedade,Group 1,55348.0,,,,
Pilar,Group 1,35111.0,,,,
Pilar Do Sul,Group 1,29185.0,,,,
Pindamonhangaba,Group 1,168328.0,0.101,0.156,0.0421,
Pinhais,Group 1,132157.0,0.0422,1.0,0.0255,
Pinheiral,Group 1,25156.0,,,,
Piracaia,Group 1,27303.0,0.0777,0.0552,0.0741,
Piracicaba,Group 1,404142.0,0.118,0.317,0.0867,
Piracuruca,Group 1,28791.0,0.01,0.23,0.0,
Piraju,Group 1,29806.0,0.113,0.0738,0.0758,
Piraquara,Group 1,113036.0,,,,
Pirassununga,Group 1,76409.0,,,,
Piúma,Group 1,21711.0,0.106,0.2,0.0714,
Plácido De Castro,Group 1,19761.0,0.167,0.595,0.0619,
Pombos,Group 1,27091.0,0.0688,0.135,0.0496,
Pomerode,Group 1,33447.0,,,,
Ponta Grossa,Group 1,351736.0,,,,
Ponta De Pedras,Group 1,31082.0,0.358,0.942,0.356,
Porto Alegre,Group 1,1.483771e6,0.0214,0.595,0.001,0.0761
Porto Feliz,Group 1,53098.0,,,,
Porto Grande,Group 1,21971.0,,,,
Porto Seguro,Group 1,148686.0,,,,
Porto Velho,Group 1,529544.0,0.142,0.0882,0.0741,0.0684
Porto De Moz,Group 1,41135.0,,,,
Pouso Alegre,Group 1,150737.0,0.105,0.0723,0.048,
Poá,Group 1,117452.0,0.0758,0.196,0.0852,
Praia Grande,Group 1,7319.0,0.113,0.243,0.0924,
Presidente Dutra,Group 1,15142.0,,,,
Presidente Figueiredo,Group 1,36279.0,0.159,0.175,0.0955,
Presidente Juscelino,Group 1,12734.0,,,,
Presidente Prudente,Group 1,228743.0,0.0609,0.0118,0.0862,
Presidente Venceslau,Group 1,39516.0,,,,
Primavera Do Leste,Group 1,62019.0,,,,
Quaraí,Group 1,22687.0,0.241,0.286,0.4,
Quatipuru,Group 1,13608.0,,,,
Queimados,Group 1,150319.0,0.111,0.201,0.0499,
Querência,Group 1,17479.0,,,,
Quixadá,Group 1,87728.0,0.207,0.448,0.115,
Quixeramobim,Group 1,81082.0,0.01,0.01,0.0917,
Raposa,Group 1,30761.0,0.142,0.249,0.0529,
Recife,Group 1,1.645727e6,0.0828,0.209,0.0527,0.13
Redenção,Group 1,29053.0,,,,
Registro,Group 1,56322.0,0.227,0.132,0.155,
Reriutaba,Group 1,18491.0,,,,
Resende,Group 1,131341.0,0.17,1.0,0.102,
Ribeirão,Group 1,47415.0,0.161,0.0574,0.156,
Ribeirão Pires,Group 1,123393.0,0.0584,0.312,0.0419,
Ribeirão Preto,Group 1,703293.0,0.173,0.648,0.0762,0.0661
Ribeirão Das Neves,Group 1,334858.0,,,,
Rio Bonito,Group 1,60201.0,0.0359,0.142,0.0348,
Rio Branco,Group 1,407319.0,0.181,0.153,0.0809,
Rio Claro,Group 1,206424.0,0.0595,0.0192,0.1,
Rio Grande,Group 1,211005.0,0.115,0.453,0.0556,
Rio Grande Da Serra,Group 1,50846.0,,,,
Rio Largo,Group 1,75120.0,,,,
Rio Preto Da Eva,Group 1,33347.0,0.178,0.312,0.127,
Rio Verde,Group 1,235647.0,0.0336,0.79,0.0119,
Rio Das Ostras,Group 1,150674.0,0.0818,0.209,0.052,
Rio De Janeiro,Group 1,6.718903e6,0.01,0.01,0.0552,0.185
Rio Do Sul,Group 1,71061.0,,,,
Rondonópolis,Group 1,232491.0,0.0424,0.646,0.0116,
Rosário,Group 1,42740.0,0.128,0.592,0.0541,
Russas,Group 1,78194.0,0.142,0.204,0.067,
Sabará,Group 1,136344.0,,,,
Salesópolis,Group 1,17139.0,0.01,0.01,0.125,
Salete,Group 1,7642.0,,,,
Salinópolis,Group 1,40675.0,,,,
Salto,Group 1,118663.0,,,,
Salvador,Group 1,2.872347e6,0.108,0.214,0.05,0.0804
Salvaterra,Group 1,23752.0,0.154,0.279,0.0381,
Sant'Ana Do Livramento,Group 1,77027.0,,,,
Santa Cruz,Group 1,15398.0,,,,
Santa Cruz Cabrália,Group 1,27778.0,,,,
Santa Cruz De Monte Castelo,Group 1,7800.0,,,,
Santa Cruz Do Arari,Group 1,10128.0,0.17,0.451,0.0926,
Santa Cruz Do Rio Pardo,Group 1,47673.0,,,,
Santa Inês,Group 1,89044.0,,,,
Santa Izabel Do Pará,Group 1,70801.0,0.112,0.357,0.041,
Santa Leopoldina,Group 1,12224.0,,,,
Santa Luzia,Group 1,12597.0,,,,
Santa Maria,Group 1,5551.0,,,,
Santa Maria De Jetibá,Group 1,40431.0,0.211,0.294,0.13,
Santa Maria Do Pará,Group 1,24861.0,,,,
Santa Quitéria,Group 1,43703.0,0.0749,0.128,0.0429,
Santa Rita,Group 1,37855.0,0.201,0.767,0.105,
Santa Rosa,Group 1,73254.0,,,,
Santa Teresa,Group 1,23590.0,,,,
Santana,Group 1,121364.0,0.172,0.199,0.0574,0.0609
Santana De Parnaíba,Group 1,139447.0,0.115,0.907,0.0494,
Santarém,Group 1,304589.0,0.119,0.206,0.0791,
Santo André,Group 1,718773.0,0.119,1.0,0.0532,0.122
Santo Antônio,Group 1,24136.0,,,,
Santo Antônio De Pádua,Group 1,42479.0,0.0775,0.0238,0.167,
Santo Antônio Do Aracanguá,Group 1,8420.0,,,,
Santo Antônio Do Caiuá,Group 1,2641.0,0.128,0.253,0.153,
Santo Antônio Do Tauá,Group 1,31482.0,0.14,0.221,0.0834,
Santos,Group 1,433311.0,0.0765,0.0641,0.0499,0.155
Sapiranga,Group 1,81734.0,,,,
Sapucaia,Group 1,18228.0,0.101,0.347,0.0391,
Sapucaia Do Sul,Group 1,141075.0,,,,
Sapé,Group 1,52625.0,0.136,0.259,0.0801,
Saquarema,Group 1,89170.0,0.066,0.0781,0.038,
Satuba,Group 1,13828.0,,,,
Seara,Group 1,17541.0,,,,
Senador Amaral,Group 1,5356.0,,,,
Senador Canedo,Group 1,115371.0,,,,
Senador Guiomard,Group 1,23024.0,,,,
Senador Pompeu,Group 1,25496.0,,,,
Seropédica,Group 1,82312.0,,,,
Serra,Group 1,517510.0,0.0662,0.174,0.0423,0.131
Serra Do Navio,Group 1,5397.0,,,,
Sertãozinho,Group 1,5024.0,,,,
Sete Lagoas,Group 1,239639.0,,,,
Siderópolis,Group 1,14007.0,,,,
Silva Jardim,Group 1,21774.0,0.196,0.479,0.222,
Silves,Group 1,9171.0,0.332,0.044,0.139,
Sinop,Group 1,142996.0,0.0224,0.441,0.0,
Sirinhaém,Group 1,45865.0,0.137,0.412,0.125,
Sobral,Group 1,208935.0,0.105,0.0952,0.0556,0.0441
Soledade,Group 1,14989.0,,,,
Sombrio,Group 1,30374.0,0.0715,0.193,0.0547,
Sooretama,Group 1,30070.0,,,,
Sorocaba,Group 1,679378.0,0.111,0.212,0.0785,
Sousa,Group 1,69444.0,,,,
Sumaré,Group 1,282441.0,0.0857,0.0605,0.0448,
Suzano,Group 1,297637.0,0.0929,0.381,0.0522,0.204
São Benedito Do Rio Preto,Group 1,18663.0,0.16,0.258,0.0926,
São Bento,Group 1,45211.0,,,,
São Bento Do Sul,Group 1,84507.0,,,,
São Bento Do Una,Group 1,59504.0,,,,
São Bernardo Do Campo,Group 1,838936.0,0.0707,0.141,0.0476,0.149
São Caetano De Odivelas,Group 1,18050.0,0.511,1.0,0.252,
São Caetano Do Sul,Group 1,161127.0,0.0426,0.17,0.0756,0.131
São Caitano,Group 1,37245.0,,,,
São Carlos,Group 1,11281.0,0.102,0.396,0.0571,
São Francisco,Group 1,56323.0,0.143,0.0813,0.126,
São Francisco Do Conde,Group 1,39802.0,0.0865,0.243,0.0,
São Francisco Do Sul,Group 1,52721.0,0.0562,0.272,0.0556,
São Gonçalo,Group 1,1.084839e6,0.0872,0.153,0.0592,0.172
São Gonçalo Do Amarante,Group 1,48422.0,0.0681,0.108,0.0154,
São José De Ribamar,Group 1,177687.0,0.104,0.281,0.0454,0.0866
São José Do Rio Pardo,Group 1,54946.0,,,,
São José Do Rio Preto,Group 1,460671.0,0.147,0.618,0.0657,0.0833
São José Dos Campos,Group 1,721944.0,0.0859,0.118,0.0355,0.103
São João Da Boa Vista,Group 1,91211.0,,,,
São João De Meriti,Group 1,472406.0,0.102,0.145,0.0643,0.194
São João De Pirabas,Group 1,23045.0,,,,
São João Del Rei,Group 1,90082.0,,,,
São João Do Caiuá,Group 1,5855.0,0.0826,0.178,0.0719,
São João Do Rio Do Peixe,Group 1,18034.0,,,,
São Leopoldo,Group 1,236835.0,0.104,0.607,0.0429,
São Lourenço,Group 1,45851.0,,,,
São Lourenço Da Mata,Group 1,113230.0,0.0815,0.288,0.0418,
São Lourenço Da Serra,Group 1,15825.0,0.132,0.286,0.0642,
São Ludgero,Group 1,13410.0,0.0461,0.445,0.037,
São Luís,Group 1,1.101884e6,0.0988,0.335,0.0493,0.136
São Manuel,Group 1,40954.0,0.105,0.341,0.0405,
São Miguel,Group 1,23519.0,,,,
São Miguel Do Guamá,Group 1,58986.0,0.221,0.388,0.0718,
São Paulo,Group 1,1.2252023e7,0.0694,0.201,0.0384,0.169
São Paulo De Olivença,Group 1,39299.0,0.255,1.0,0.111,
São Pedro,Group 1,5971.0,,,,
São Pedro Da Aldeia,Group 1,104476.0,0.0902,0.145,0.042,
São Rafael,Group 1,8202.0,0.209,0.402,0.0426,
São Roque,Group 1,91016.0,0.01,0.127,0.0085,
São Sebastião,Group 1,34152.0,0.112,0.135,0.103,
São Sebastião Do Caí,Group 1,25685.0,,,,
São Sebastião Do Paraíso,Group 1,70956.0,0.147,0.182,0.0833,
São Vicente,Group 1,6424.0,0.0844,0.345,0.0476,0.0828
Tabatinga,Group 1,65844.0,0.11,0.307,0.082,
Tabira,Group 1,28534.0,,,,
Taboão Da Serra,Group 1,289664.0,0.0674,0.347,0.0261,0.19
Tabuleiro Do Norte,Group 1,30697.0,0.0614,0.649,0.0,
Tailândia,Group 1,106339.0,,,,
Tamboara,Group 1,5120.0,0.177,0.359,0.111,
Tangará Da Serra,Group 1,103750.0,,,,
Tanguá,Group 1,34309.0,0.149,0.209,0.073,
Tapejara,Group 1,24111.0,,,,
Taperoá,Group 1,21074.0,0.395,0.0638,0.0873,
Taquari,Group 1,26862.0,,,,
Tatuí,Group 1,121766.0,0.01,0.01,0.0502,
Taubaté,Group 1,314924.0,0.0205,0.254,0.0172,
Tauá,Group 1,58859.0,0.184,0.763,0.0621,
Tefé,Group 1,59849.0,0.27,0.0309,0.194,0.119
Telêmaco Borba,Group 1,78974.0,,,,
Teresina,Group 1,864845.0,0.153,0.576,0.0643,0.0653
Teresópolis,Group 1,182594.0,0.102,0.206,0.0652,
Terra Alta,Group 1,11720.0,0.168,0.394,0.0984,
Terra Rica,Group 1,16789.0,,,,
Teutônia,Group 1,33232.0,,,,
Tijucas,Group 1,38407.0,,,,
Timbaúba,Group 1,53022.0,0.099,0.187,0.127,
Timon,Group 1,169107.0,,,,
Timóteo,Group 1,89842.0,,,,
Tomé-Açu,Group 1,63447.0,0.202,0.365,0.133,
Tonantins,Group 1,18755.0,0.01,0.01,0.104,
Torres,Group 1,38732.0,,,,
Tracuateua,Group 1,30959.0,,,,
Trairi,Group 1,55918.0,0.239,0.122,0.238,
Trindade,Group 1,127599.0,0.257,0.676,0.19,
Trizidela Do Vale,Group 1,21998.0,0.156,0.15,0.0641,
Três Lagoas,Group 1,121388.0,0.01,0.0595,0.0149,
Três Rios,Group 1,81804.0,,,,
Tucumã,Group 1,39602.0,,,,
Tucuruí,Group 1,113659.0,0.139,0.208,0.225,
Ubatuba,Group 1,90799.0,,,,
Ubatã,Group 1,27035.0,,,,
Uberaba,Group 1,333783.0,0.0151,0.257,0.0165,
Uberlândia,Group 1,691305.0,0.138,1.0,0.0573,
Ubá,Group 1,115552.0,,,,
Umirim,Group 1,19825.0,0.01,0.01,0.426,
União,Group 1,44485.0,,,,
União Da Vitória,Group 1,57517.0,,,,
União Dos Palmares,Group 1,65611.0,0.178,0.286,0.0705,
Urucará,Group 1,16256.0,0.303,0.604,0.214,
Urupá,Group 1,11467.0,,,,
Urussanga,Group 1,21268.0,0.0792,0.239,0.0905,
Uruçuca,Group 1,20519.0,0.0847,0.0693,0.0485,
Vacaria,Group 1,66218.0,0.0336,0.167,0.0,
Valença,Group 1,96562.0,0.147,0.274,0.111,
Valinhos,Group 1,129193.0,0.0961,0.145,0.0417,
Vargem Bonita,Group 1,4492.0,,,,
Vargem Grande,Group 1,56510.0,,,,
Venda Nova Do Imigrante,Group 1,25277.0,,,,
Venâncio Aires,Group 1,71554.0,0.113,0.0883,0.0984,
Vera Cruz,Group 1,43223.0,,,,
Viamão,Group 1,255224.0,,,,
Vigia,Group 1,53686.0,0.119,0.302,0.05,
Vila Valério,Group 1,14080.0,,,,
Vila Velha,Group 1,493838.0,0.0544,0.181,0.0391,0.0627
Vilhena,Group 1,99854.0,,,,
Vinhedo,Group 1,78728.0,0.01,0.116,0.0325,
Vitória,Group 1,362097.0,0.0502,0.106,0.0354,0.0769
Vitória Da Conquista,Group 1,338480.0,0.0696,0.363,0.0396,
Vitória De Santo Antão,Group 1,138757.0,0.121,0.455,0.1,
Vitória Do Jari,Group 1,15931.0,,,,
Vitória Do Mearim,Group 1,32764.0,,,,
Volta Redonda,Group 1,273012.0,0.0901,0.133,0.0454,0.0941
Votorantim,Group 1,122480.0,0.167,0.245,0.069,
Votuporanga,Group 1,94547.0,,,,
Várzea Grande,Group 1,284971.0,,,,
Várzea Paulista,Group 1,121838.0,0.133,0.175,0.0905,
Xinguara,Group 1,44751.0,0.215,0.514,0.0714,
Zé Doca,Group 1,51714.0,0.271,0.0746,0.151,
Água Branca,Group 1,17411.0,,,,
Águas Lindas De Goiás,Group 1,212440.0,0.136,0.4,0.0455,
Águas De Lindóia,Group 1,18705.0,0.01,0.205,0.0333,
