date,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,μ_closed,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
2020-03-23,7777809927,11317,1801135,units unclear,376290,187418,16733,376290,204151,172139,0.08196,42388.0,12408.5,2222.5,14631.0,27757.0,4396.0,2166.333,274.361,2440.694,1955.306,91.319,-109.67535,,0.04447,48.38,2.151,24.097,26.248,22.132,4.787,231.574
2020-03-24,7777809927,11317,2073489,units unclear,415774,200794,19000,415774,219794,195980,0.08644,47652.667,14632.667,2522.0,17154.667,30498.0,4447.75,2330.861,287.944,2618.806,1828.944,-144.63889,-126.10069,,0.0457,53.456,2.443,25.816,28.259,25.197,4.987,266.59
2020-03-25,7777809927,11317,2183584,units unclear,464893,215838,21769,464893,237607,227286,0.09162,53304.833,17075.5,2851.667,19927.167,33377.667,4507.472,2486.639,298.556,2785.194,1722.278,-210.09028,-110.21007,,0.04683,59.772,2.799,27.75,30.549,29.222,4.697,280.745
2020-03-26,7777809927,11317,2433238,units unclear,526083,233502,24762,526083,258264,267819,0.09588,56351.167,19852.833,3109.667,22962.5,33388.667,3997.583,2615.417,326.667,2942.083,1055.5,-355.36806,,,0.04707,67.639,3.184,30.022,33.205,34.434,4.625,312.844
2020-03-27,7777809927,11317,2733483,units unclear,589483,254366,28254,589483,282620,306863,0.09997,60064.833,22578.167,3420.333,25998.5,34066.333,3555.639,2684.333,353.444,3037.778,517.861,-349.52083,,,0.04793,75.79,3.633,32.704,36.337,39.454,4.637,351.446
2020-03-28,7777809927,11317,2946279,units unclear,655954,278591,31929,655954,310520,345434,0.1028,64146.333,25334.167,3761.333,29095.5,35050.833,3026.278,2723.667,360.917,3084.583,-58.30556,-313.38889,,,0.04868,84.337,4.105,35.819,39.924,44.413,4.492,378.806
2020-03-29,7777809927,11317,4430355,units unclear,714397,306535,35391,714397,341926,372471,0.1035,66373.5,28101.0,4182.5,32283.5,34090.0,3109.389,2696.583,382.639,3079.222,30.167,-393.38194,,,0.04954,91.851,4.55,39.411,43.962,47.889,6.202,569.615
2020-03-30,7777809927,11317,3527459,units unclear,776163,336263,39522,776163,375785,400378,0.1052,68986.5,30738.667,4642.667,35381.333,33605.167,2744.028,2728.028,353.5,3081.528,-337.5,-360.25,,,0.05092,99.792,5.081,43.234,48.315,51.477,4.545,453.529
2020-03-31,7777809927,11317,3673593,units unclear,849771,367843,44337,849771,412180,437591,0.1076,71462.5,33417.5,5017.167,38434.667,33027.833,1982.111,2728.306,322.667,3050.972,-1068.86111,-464.90972,,,0.05218,109.256,5.7,47.294,52.994,56.261,4.323,472.317
2020-04-01,7777809927,11317,4231303,units unclear,924324,402108,49857,924324,451965,472359,0.1103,75007.5,36032.333,5405.5,41437.833,33569.667,1585.278,2635.944,317.667,2953.611,-1368.33333,-455.25694,,,0.05394,118.841,6.41,51.699,58.11,60.732,4.578,544.022
2020-04-02,7777809927,11317,4670322,units unclear,1003402,438798,56110,1003402,494908,508494,0.1134,76529.0,38946.333,5541.333,44487.667,32041.333,1249.75,2576.944,252.278,2829.222,-1579.47222,-335.20139,,,0.05592,129.008,7.214,56.417,63.631,65.378,4.654,600.467
2020-04-03,7777809927,11317,5103871,units unclear,1084729,479096,62032,1084729,541128,543601,0.1146,76039.0,41704.0,5697.333,47401.333,28637.667,923.0,2453.139,233.417,2686.556,-1763.55556,-257.85417,,,0.05719,139.465,7.976,61.598,69.573,69.891,4.705,656.209
2020-04-04,7777809927,11317,5482352,units unclear,1164442,522729,67824,1164442,590553,573889,0.1148,75885.167,43916.667,6088.5,50005.167,25880.0,641.306,2318.028,207.5,2525.528,-1884.22222,34.986,,,0.05825,149.713,8.72,67.208,75.928,73.785,4.708,704.871
2020-04-05,7777809927,11317,7816779,units unclear,1235337,569941,72770,1235337,642711,592626,0.1132,76485.0,46200.333,6156.333,52356.667,24128.333,553.861,2142.944,212.028,2354.972,-1801.11111,88.806,,,0.05891,158.828,9.356,73.278,82.634,76.194,6.328,1005.01
2020-04-06,7777809927,11317,6676733,units unclear,1306005,618067,78521,1306005,696588,609417,0.1127,77000.5,48136.333,6417.667,54554.0,22446.5,1389.694,2008.25,182.944,2191.194,-801.5,40.833,-74.80208,,0.06012,167.914,10.096,79.465,89.561,78.353,5.112,858.434
2020-04-07,7777809927,11317,7450132,units unclear,1379635,665608,86388,1379635,751996,627639,0.1149,78855.333,49940.5,6650.5,56591.0,22264.333,1278.222,2061.889,56.333,2118.222,-840.0,4.382,-74.19097,,0.06262,177.381,11.107,85.578,96.685,80.696,5.4,957.87
2020-04-08,7777809927,11317,7764221,units unclear,1462312,716000,93048,1462312,809048,653264,0.115,79852.167,51804.0,6813.5,58617.5,21234.667,804.639,1993.889,48.111,2042.0,-1237.36111,-264.22222,-124.56944,,0.06363,188.011,11.963,92.057,104.02,83.991,5.31,998.253
2020-04-09,7777809927,11317,8540656,units unclear,1546732,767914,100538,1546732,868452,678280,0.1158,84377.167,53753.5,6795.0,60548.5,23828.667,571.389,1905.278,23.111,1928.389,-1357.0,-207.95833,-70.82812,,0.065,198.865,12.926,98.731,111.658,87.207,5.522,1098.08
2020-04-10,7777809927,11317,9051488,units unclear,1637574,822372,107727,1637574,930099,707475,0.1158,83554.5,56288.0,6426.5,62714.5,20840.0,332.806,1826.444,-20.38889,1806.056,-1473.25,-457.44444,,,0.06578,210.544,13.851,105.733,119.584,90.961,5.527,1163.758
2020-04-11,7777809927,11317,9588051,units unclear,1714450,880765,113651,1714450,994416,720034,0.1143,81312.833,58163.667,6445.0,64608.667,16704.167,446.389,1640.389,31.444,1671.833,-1225.44444,-278.93056,,,0.06629,220.428,14.612,113.241,127.853,92.575,5.592,1232.744
2020-04-12,7777809927,11317,11836833,units unclear,1812268,940588,119291,1812268,1059879,752389,0.1126,80428.833,59568.0,6556.333,66124.333,14304.5,-1025.13889,1505.028,55.222,1560.25,-2585.38889,-107.92361,,,0.06582,233.005,15.337,120.932,136.27,96.735,6.532,1521.872
2020-04-13,7777809927,11317,11088338,units unclear,1880962,1003336,124947,1880962,1128283,752679,0.1107,80852.167,60899.167,6528.167,67427.333,13424.833,-544.33333,1244.056,80.806,1324.861,-1869.19444,-142.70139,,,0.06643,241.837,16.065,129.0,145.064,96.773,5.895,1425.638
2020-04-14,7777809927,11317,11710395,units unclear,1950189,1064982,131718,1950189,1196700,753489,0.1101,82530.5,61646.333,7002.167,68648.5,13882.0,-98.88889,1120.194,35.083,1155.278,-1254.16667,,,,0.06754,250.738,16.935,136.926,153.861,96.877,6.005,1505.616
2020-04-15,7777809927,11317,11574724,units unclear,2029305,1125322,139876,2029305,1265198,764107,0.1106,78226.333,62783.667,7126.333,69910.0,8316.333,-124.41667,1059.778,-18.11111,1041.667,-1166.08333,,,,0.06893,260.91,17.984,144.684,162.668,98.242,5.704,1488.173
2020-04-16,7777809927,11317,11823204,units unclear,2122687,1187767,146896,2122687,1334663,788024,0.1101,80288.5,63752.333,6911.333,70663.667,9624.833,-744.97222,962.417,-27.0,935.417,-1680.38889,,,,0.0692,272.916,18.887,152.712,171.599,101.317,5.57,1520.12
2020-04-17,7777809927,11317,12589700,units unclear,2209633,1250643,155664,2209633,1406307,803326,0.1107,80719.5,64884.833,6655.5,71540.333,9179.167,-1016.41667,948.889,-166.52778,782.361,-1798.77778,,,,0.07045,284.094,20.014,160.796,180.81,103.284,5.698,1618.669
2020-04-18,7777809927,11317,13249006,units unclear,2281626,1317290,162049,2281626,1479339,802287,0.1095,79682.333,65926.667,6447.667,72374.333,7308.0,84.167,811.889,-192.94444,618.944,-534.77778,,,,0.07102,293.351,20.835,169.365,190.2,103.151,5.807,1703.437
2020-04-19,7777809927,11317,15937860,units unclear,2362693,1385850,166415,2362693,1552265,810428,0.1072,76382.333,66673.667,6366.167,73039.833,3342.5,-180.86111,681.861,-111.05556,570.806,-751.66667,,,,0.07043,303.774,21.396,178.18,199.576,104.197,6.746,2049.145
2020-04-20,7777809927,11317,13606977,units unclear,2434506,1454291,171651,2434506,1625942,808564,0.1056,76432.0,67339.667,6003.0,73342.667,3089.333,-240.19444,615.556,-113.38889,502.167,-742.36111,51.944,,,0.07051,313.007,22.069,186.979,209.049,103.958,5.589,1749.461
2020-04-21,7777809927,11317,15448030,units unclear,2507399,1520882,178562,2507399,1699444,807955,0.1051,78731.333,67655.0,5968.667,73623.667,5107.667,-223.25,583.472,-148.47222,435.0,-658.25,,,,0.07121,322.379,22.958,195.541,218.499,103.879,6.161,1986.167
2020-04-22,7777809927,11317,14573413,units unclear,2580981,1587809,185093,2580981,1772902,808079,0.1044,79203.333,67843.5,6245.0,74088.5,5114.833,291.944,518.0,-143.52778,374.472,-82.52778,,-51.83854,,0.07171,331.839,23.798,204.146,227.944,103.895,5.646,1873.717
2020-04-23,7777809927,11317,17475657,units unclear,2668225,1654681,191682,2668225,1846363,821862,0.1038,79278.333,68578.167,5975.167,74553.333,4725.0,-89.69444,447.0,-79.61111,367.389,-457.08333,,,,0.07184,343.056,24.645,212.744,237.389,105.668,6.55,2246.861
2020-04-24,7777809927,11317,16991442,units unclear,2754014,1723220,197861,2754014,1921081,832933,0.103,78342.833,69427.5,5556.833,74984.333,3358.5,-543.11111,417.25,-91.63889,325.611,-868.72222,-155.40972,,,0.07184,354.086,25.439,221.556,246.995,107.091,6.17,2184.605
2020-04-25,7777809927,11317,17994321,units unclear,2837913,1792911,203885,2837913,1996796,841117,0.1021,78134.0,69781.667,5505.0,75286.667,2847.333,-547.44444,412.333,-165.36111,246.972,-794.41667,,,,0.07184,364.873,26.214,230.516,256.73,108.143,6.341,2313.546
2020-04-26,7777809927,11317,21468308,units unclear,2910176,1865760,207502,2910176,2073262,836914,0.1001,75893.833,70021.667,5525.333,75547.0,346.833,-329.69444,255.528,-80.86111,174.667,-504.36111,,,,0.0713,374.164,26.679,239.882,266.561,107.603,7.377,2760.2
2020-04-27,7777809927,11317,19628430,units unclear,2977456,1937447,211903,2977456,2149350,828106,0.09859,75472.667,70158.5,5418.833,75577.333,-104.66667,83.111,162.917,-34.58333,128.333,-45.22222,,,,0.07117,382.814,27.245,249.099,276.344,106.47,6.592,2523.645
2020-04-28,7777809927,11317,20644057,units unclear,3049785,2006499,218123,3049785,2224622,825163,0.09805,75918.667,70317.5,5252.833,75570.333,348.333,199.444,215.889,-90.80556,125.083,74.361,,,,0.07152,392.114,28.044,257.977,286.022,106.092,6.769,2654.225
